product_id,product_name,description,product_category,unit_price
HB01,Makeup,FIT foundation and makeup kits,Health and Beauty,$58.90
C01,Desktops,Asus 2156 Coloured desktop,Computers and Accessories,$239.90
E01,Televisions,Hisense 75 UHD,Electronics,$199.00
P01,Health care,pack of 24 nose masks,Health and Beauty,$12.99
H01,Bedsheets,OGB interior 4 by 6 Bedsheets,Household items,$199.90
SP01,exercise bikes,exercise bike,Sporting,$74.00
P02,Oral care,Oral B toothpaste,Health and Beauty,$19.90
H02,Furnitures,A 5 seataer parlour chair,Household items,$810.00
PH01,mobile phones,Tura IEI3 landphone,Phones,$145.95
F01,Unisex Bags,Versace Bag,Fashion,$53.99
GR01,Food items,carton of spaghetti ,Grocery,$59.99
B01,Diapers,baby diapers,Baby products,$45.00
ST01,History,world at large,Stationery,$21.00
PH02,Iphone,Iphone 14pro,Phones,$49.90
F02,Men Shoes,Chelsea boot size 44,Fashion,$49.90
H03,TV stand,Ceri glass tv stand,Household items,$99.90
C02,Laptops,"Macbook 2019 16gb ram, 1tg hdd Laptop",Computers and Accessories,$639.00
F03,Watches,Mini focus Luxury watch,Fashion,$144.00
P03,Cabinets,4 by 4 standing cabinets,Office Furniture,$99.00
GA01,Playstation,Playstation 4,Gaming,$400.00
M01,Band sets,Yamaha 6 sets of drums,Musical Instruments,$390.00
F04,Tshirts,armani shirt size L,Fashion,$21.99
C03,Monitors,Wincor 2356 Monitor,Computers and Accessories,$119.99
F05,Underwears,Puma unisex boxers,Fashion,$49.00
PH03,Nokia,Nokia 54320 version,Phones,$48.90
C04,Usb flash  drives,Dell 16gb Flahdrive,Computers and Accessories,$219.90
HA02,Oven,LG oven size 23,Home Appliances,$289.00
E02,Smart Tv,Toshiba 65 Smart tv,Electronics,$109.90
F06,Women Shoes,Zapatox high heel shoe,Fashion,$27.90
F07,Jewelry,Ziaomi model gold ring,Fashion,$119.90
OF01,Furnitures,an executive hair,Office Furniture,$397.00
H04,Wndow Blinds,bella fashion blind,Household items,$59.90
E03,Home Theater,Panasonic 16 Homer theater,Electronics,$21.33
HA03,Microwave ,Sunzu Microwave,Home Appliances,$21.33
E04,Digital Cameras,Godoz TT520 Universal camera,Electronics,$21.33
P04,Lighting,a decorative 60w led light,Office Furniture,$16.50
PH04,Samsung,samsung L6,Phones,$21.90
PH05,Tecno,teno camon 19pro,Phones,$39.00
H05,Standing Fan,binatone 18 standing fan,Household items,$49.75
SP02,Football,addidas 2020 model,Sporting,$21.90
H06,Footmats,a large rubber footmat,Household items,$99.99
M02,Guitar,Fanchei 16 Guitar,Musical Instruments,$149.90
HB02,Fragrances,212 VIP black Perfume,Health and Beauty,$24.89
PH06,Redmi,redmi puff 4,Phones,$24.89
HB03,Haircare,Tcb Hair food ,Health and Beauty,$24.89
GR02,Beverages,Milo large size,Grocery,$54.00
A01,Wall Frame,A garden wall frame,Arts And Craftmanship,$31.99
H07,Cutleries,2 sets of cutteriesand pots,Household items,$99.00
ST02,Basketball,Puma 2021 model,Stationery,$18.99
C05,Antivirus,Avast 2022 Antivirus,Computers and Accessories,$18.99
F08,Travelling Bags,Addidas Bag,Fashion,$38.33
GA02,Xbox,Xbox 2020,Gaming,$69.90
C06,Printers,Hp Dot matrix Printer,Computers and Accessories,$195.00
C07,Keyboards,Hp keyboard,Computers and Accessories,$35.90
C08,Scanners,Hp laserjet scanner,Computers and Accessories,$79.50
GA03,Nintendo,Nintendo soccer 2021 model,Gaming,$29.99
HA04,Generators,Jinseng generator 336t,Home Appliances,$109.90
ST03,Science,women physiology,Stationery,$21.90
GR03,Cleaning items,Sunlight deteregents,Grocery,$14.95
C09,Laptop Batteries,Toshiba C350 Battery,Computers and Accessories,$149.90
GR04,Oats,Specia Oat,Grocery,$19.99
M03,Piano,LG-DX piano,Musical Instruments,$290.00
H08,Wardrobes,3 layers of wooden wardrobe,Household items,$135.00
SP03,Dumbells,Big trill dumbell,Sporting,$57.90
M04,Microphone,Toshiba aerial microphone,Musical Instruments,$69.90
E05,Dvd Players,LG dvd smart player,Electronics,$279.90
HB04,Personal care,Ozy & Ozera Organic cream,Health and Beauty,$44.90
A02,Wooden sculptor,A wooden hunter statue,Arts And Craftmanship,$81.99
B02,Bath toys,bathing toys,Baby products,$29.99
GA04,Gameboy,Gameboy 2019 version,Gaming,$25.00
PH07,Infinix,Infinix hot 5 pro,Phones,$492.75
